,id,title,body,relevance
0,0704.0773,Collective behavior of stock price movements in an emerging market,"  To investigate the universality of the structure of interactions in different
<hi>markets</hi>, we analyze the cross-correlation matrix C of <hi>stock</hi> price fluctuations
in the National <hi>Stock</hi> Exchange (NSE) of India. We find that this emerging
<hi>market</hi> exhibits strong correlations in the movement of <hi>stock</hi> prices compared to
developed <hi>markets</hi>, such as the New York <hi>Stock</hi> Exchange (NYSE). This is shown to
be due to the dominant influence of a common <hi>market</hi> mode on the <hi>stock</hi> prices.
By comparison, interactions between related stocks, e.g., those belonging to
the same business sector, are much weaker. This lack of distinct sector
identity in emerging <hi>markets</hi> is explicitly shown by reconstructing the network
of mutually interacting stocks. Spectral analysis of C for NSE reveals that,
the few largest eigenvalues deviate from the bulk of the spectrum predicted by
random matrix theory, but they are far fewer in number compared to, e.g., NYSE.
We show this to be due to the relative weakness of intra-sector interactions
between stocks, compared to the <hi>market</hi> mode, by modeling <hi>stock</hi> price dynamics
with a two-factor model. Our results suggest that the emergence of an internal
structure comprising multiple groups of strongly coupled components is a
signature of <hi>market</hi> development.
",33.163408807271594
1,0705.0076,"Deterministic Factors of Stock Networks based on Cross-correlation in
  Financial Market","  The <hi>stock</hi> <hi>market</hi> has been known to form homogeneous <hi>stock</hi> groups with a
higher correlation among different stocks according to common economic factors
that influence individual stocks. We investigate the role of common economic
factors in the <hi>market</hi> in the formation of <hi>stock</hi> networks, using the arbitrage
pricing model reflecting essential properties of common economic factors. We
find that the degree of consistency between real <hi>and</hi> model <hi>stock</hi> networks
increases as additional common economic factors are incorporated into our
model. Furthermore, we find that individual stocks with a large number of links
to other stocks in a network are more highly correlated with common economic
factors than those with a small number of links. This suggests that common
economic factors in the <hi>stock</hi> <hi>market</hi> can be understood in terms of
deterministic factors.
",31.78728367238068
2,0704.0664,Stock market return distributions: from past to present,"  We show that recent <hi>stock</hi> <hi>market</hi> fluctuations are characterized by the
cumulative distributions whose tails on short, minute time scales exhibit power
scaling with the scaling index alpha > 3 <hi>and</hi> this index tends to increase
quickly with decreasing sampling frequency. Our study is based on
high-frequency recordings of the S&P500, DAX <hi>and</hi> WIG20 indices over the
interval May 2004 - May 2006. Our findings suggest that dynamics of the
contemporary <hi>market</hi> may differ from the one observed in the past. This effect
indicates a constantly increasing efficiency of world <hi>markets</hi>.
",30.39269722904877
3,0704.2115,"Uncovering the Internal Structure of the Indian Financial Market:
  Cross-correlation behavior in the NSE","  The cross-correlations between price fluctuations of 201 frequently traded
stocks in the National <hi>Stock</hi> Exchange (NSE) of India are analyzed in this
paper. We use daily closing prices for the period 1996-2006, which coincides
with the period of rapid transformation of the <hi>market</hi> following liberalization.
The eigenvalue distribution of the cross-correlation matrix, $\mathbf{C}$, of
NSE is found to be similar to that of developed <hi>markets</hi>, such as the New York
<hi>Stock</hi> Exchange (NYSE): the majority of eigenvalues fall within the bounds
expected for a random matrix constructed from mutually uncorrelated time
series. Of the few largest eigenvalues that deviate from the bulk, the largest
is identified with <hi>market</hi>-wide movements. The intermediate eigenvalues that
occur between the largest <hi>and</hi> the bulk have been associated in NYSE with
specific business sectors with strong intra-group interactions. However, in the
Indian <hi>market</hi>, these deviating eigenvalues are comparatively very few <hi>and</hi> lie
much closer to the bulk. We propose that this is because of the relative lack
of distinct sector identity in the <hi>market</hi>, with the movement of stocks
dominantly influenced by the overall <hi>market</hi> trend. This is shown by explicit
construction of the interaction network in the <hi>market</hi>, first by generating the
minimum spanning tree from the unfiltered correlation matrix, <hi>and</hi> later, using
an improved method of generating the graph after filtering out the <hi>market</hi> mode
<hi>and</hi> random effects from the <hi>data</hi>. Both methods show, compared to developed
<hi>markets</hi>, the relative absence of clusters of co-moving stocks that belong to
the same business sector. This is consistent with the general belief that
emerging <hi>markets</hi> tend to be more correlated than developed <hi>markets</hi>.
",23.35040403318725
4,0704.3905,Ensemble Learning for Free with Evolutionary Algorithms ?,"  Evolutionary <hi>Learning</hi> proceeds by evolving a population of classifiers, from
which it generally returns (with some notable exceptions) the single
best-of-run classifier as final result. In the meanwhile, Ensemble <hi>Learning</hi>,
one of the most efficient approaches in supervised <hi>Machine</hi> <hi>Learning</hi> for the
last decade, proceeds by building a population of diverse classifiers. Ensemble
<hi>Learning</hi> with Evolutionary Computation thus receives increasing attention. The
Evolutionary Ensemble <hi>Learning</hi> (EEL) approach presented in this paper features
two contributions. First, a new fitness function, inspired by co-evolution <hi>and</hi>
enforcing the classifier diversity, is presented. Further, a new selection
criterion based on the classification margin is proposed. This criterion is
used to extract the classifier ensemble from the final population only
(Off-line) or incrementally along evolution (On-line). Experiments on a set of
benchmark problems show that Off-line outperforms single-hypothesis
evolutionary <hi>learning</hi> <hi>and</hi> state-of-art Boosting <hi>and</hi> generates smaller
classifier ensembles.
",21.472965151658713
5,0704.3453,"An Adaptive Strategy for the Classification of G-Protein Coupled
  Receptors","  One of the major problems in computational biology is the inability of
existing classification models to incorporate expanding <hi>and</hi> new domain
knowledge. This problem of static classification models is addressed in this
paper by the introduction of incremental <hi>learning</hi> for problems in
bioinformatics. Many <hi>machine</hi> <hi>learning</hi> tools have been applied to this problem
using static <hi>machine</hi> <hi>learning</hi> structures such as neural networks or support
vector <hi>machines</hi> that are unable to accommodate new information into their
existing models. We utilize the fuzzy ARTMAP as an alternate <hi>machine</hi> <hi>learning</hi>
system that has the ability of incrementally <hi>learning</hi> new <hi>data</hi> as it becomes
available. The fuzzy ARTMAP is found to be comparable to many of the widespread
<hi>machine</hi> <hi>learning</hi> systems. The use of an evolutionary strategy in the selection
<hi>and</hi> combination of individual classifiers into an ensemble system, coupled with
the incremental <hi>learning</hi> ability of the fuzzy ARTMAP is proven to be suitable
as a pattern classifier. The algorithm presented is tested using <hi>data</hi> from the
G-Coupled Protein Receptors Database <hi>and</hi> shows good accuracy of 83%. The system
presented is also generally applicable, <hi>and</hi> can be used in problems in genomics
<hi>and</hi> proteomics.
",21.08017183315221
6,0705.0666,Validating module network learning algorithms using simulated data,"  In recent years, several authors have used probabilistic graphical models to
learn expression modules <hi>and</hi> their regulatory programs from gene expression
<hi>data</hi>. Here, we demonstrate the use of the synthetic <hi>data</hi> generator SynTReN for
the purpose of testing <hi>and</hi> comparing module network <hi>learning</hi> algorithms. We
introduce a software package for <hi>learning</hi> module networks, called LeMoNe, which
incorporates a novel strategy for <hi>learning</hi> regulatory programs. Novelties
include the use of a bottom-up Bayesian hierarchical clustering to construct
the regulatory programs, <hi>and</hi> the use of a conditional entropy measure to assign
regulators to the regulation program nodes. Using SynTReN <hi>data</hi>, we test the
performance of LeMoNe in a completely controlled situation <hi>and</hi> assess the
effect of the methodological changes we made with respect to an existing
software package, namely Genomica. Additionally, we assess the effect of
various parameters, such as the size of the <hi>data</hi> set <hi>and</hi> the amount of noise,
on the inference performance. Overall, application of Genomica <hi>and</hi> LeMoNe to
simulated <hi>data</hi> sets gave comparable results. However, LeMoNe offers some
advantages, one of them being that the <hi>learning</hi> process is considerably faster
for larger <hi>data</hi> sets. Additionally, we show that the location of the regulators
in the LeMoNe regulation programs <hi>and</hi> their conditional entropy may be used to
prioritize regulators for functional validation, <hi>and</hi> that the combination of
the bottom-up clustering strategy with the conditional entropy-based assignment
of regulators improves the handling of missing or hidden regulators.
",20.382964379347328
7,0705.4023,The limit order book on different time scales,"  Financial <hi>markets</hi> can be described on several time scales. We use <hi>data</hi> from
the limit order book of the London <hi>Stock</hi> Exchange (LSE) to compare how the
fluctuation dominated microstructure crosses over to a more systematic global
behavior.
",19.814294269579534
8,0704.2139,Why only few are so successful ?,"  In many professons employees are rewarded according to their relative
performance. Corresponding economy can be modeled by taking $N$ independent
agents who gain from the <hi>market</hi> with a rate which depends on their current
gain. We argue that this simple realistic rate generates a scale free
distribution even though intrinsic ability of agents are marginally different
from each other. As an evidence we provide distribution of scores for two
different systems (a) the global <hi>stock</hi> game where players invest in real <hi>stock</hi>
<hi>market</hi> <hi>and</hi> (b) the international cricket.
",18.52453004663255
9,0704.1099,The Epps effect revisited,"  We analyse the dependence of <hi>stock</hi> return cross-correlations on the sampling
frequency of the <hi>data</hi> known as the Epps effect: For high resolution <hi>data</hi> the
cross-correlations are significantly smaller than their asymptotic value as
observed on daily <hi>data</hi>. The former description implies that changing trading
frequency should alter the characteristic time of the phenomenon. This is not
true for the empirical <hi>data</hi>: The Epps curves do not scale with <hi>market</hi> activity.
The latter result indicates that the time scale of the phenomenon is connected
to the reaction time of <hi>market</hi> participants (this we denote as human time
scale), independent of <hi>market</hi> activity. In this paper we give a new description
of the Epps effect through the decomposition of cross-correlations. After
testing our method on a model of generated random walk price changes we justify
our analytical results by fitting the Epps curves of real world <hi>data</hi>.
",18.062293005294013
